season_id,year,start_date,end_date,total_fee,season_name
1,2024,2024-01-01,2024-02-25,100.0,S1 2024
2,2024,2024-02-26,2024-04-21,100.0,S2 2024
3,2024,2024-04-22,2024-06-16,100.0,S3 2024
4,2024,2024-06-17,2024-08-11,100.0,S4 2024
5,2024,2024-08-12,2024-10-06,100.0,S5 2024
6,2024,2024-10-07,2024-12-01,100.0,S6 2024
7,2024,2024-12-02,2025-01-26,100.0,S7 2024
8,2024,2025-01-27,2025-03-23,100.0,S8 2024
9,2025,2025-01-01,2025-02-25,100.0,S1 2025
10,2025,2025-02-26,2025-04-22,100.0,S2 2025
11,2025,2025-04-23,2025-06-17,100.0,S3 2025
12,2025,2025-06-18,2025-08-12,100.0,S4 2025
13,2025,2025-08-13,2025-10-07,100.0,S5 2025
14,2025,2025-10-08,2025-12-02,100.0,S6 2025
15,2025,2025-12-03,2026-01-27,100.0,S7 2025
16,2025,2026-01-28,2026-03-24,100.0,S8 2025
17,2026,2026-01-01,2026-02-25,100.0,S1 2026
18,2026,2026-02-26,2026-04-22,100.0,S2 2026
19,2026,2026-04-23,2026-06-17,100.0,S3 2026
20,2026,2026-06-18,2026-08-12,100.0,S4 2026
21,2026,2026-08-13,2026-10-07,100.0,S5 2026
22,2026,2026-10-08,2026-12-02,100.0,S6 2026
23,2026,2026-12-03,2027-01-27,100.0,S7 2026
24,2026,2027-01-28,2027-03-24,100.0,S8 2026
25,2027,2027-01-01,2027-02-25,100.0,S1 2027
26,2027,2027-02-26,2027-04-22,100.0,S2 2027
27,2027,2027-04-23,2027-06-17,100.0,S3 2027
28,2027,2027-06-18,2027-08-12,100.0,S4 2027
29,2027,2027-08-13,2027-10-07,100.0,S5 2027
30,2027,2027-10-08,2027-12-02,100.0,S6 2027
31,2027,2027-12-03,2028-01-27,100.0,S7 2027
32,2027,2028-01-28,2028-03-23,100.0,S8 2027
33,2028,2028-01-01,2028-02-25,100.0,S1 2028
34,2028,2028-02-26,2028-04-21,100.0,S2 2028
35,2028,2028-04-22,2028-06-16,100.0,S3 2028
36,2028,2028-06-17,2028-08-11,100.0,S4 2028
37,2028,2028-08-12,2028-10-06,100.0,S5 2028
38,2028,2028-10-07,2028-12-01,100.0,S6 2028
39,2028,2028-12-02,2029-01-26,100.0,S7 2028
40,2028,2029-01-27,2029-03-23,100.0,S8 2028
