team_id,team_name,captain_id
1,Team_1,1
2,Team_2,5
3,Team_3,9
4,Team_4,13
5,Team_5,17
6,Team_6,21
7,Team_7,25
8,Team_8,29
9,Team_9,33
10,Team_10,37
11,Team_11,41
12,Team_12,45
13,Team_13,49
14,Team_14,53
15,Team_15,57
16,Team_16,61
17,Team_17,65
18,Team_18,69
19,Team_19,73
20,Team_20,77
21,Team_21,81
22,Team_22,85
23,Team_23,89
24,Team_24,93
25,Team_25,97
26,Team_26,101
27,Team_27,105
28,Team_28,109
29,Team_29,113
30,Team_30,117
31,Team_31,121
32,Team_32,125
33,Team_33,129
34,Team_34,133
35,Team_35,137
36,Team_36,141
37,Team_37,145
38,Team_38,149
39,Team_39,153
40,Team_40,157
